Time,SPACE1-1:PITTSBURGH ALLEGHENY CO AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SPACE1-1:PITTSBURGH ALLEGHENY CO AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SPACE1-1:PITTSBURGH ALLEGHENY CO AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SPACE1-1:PITTSBURGH ALLEGHENY CO AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SPACE2-1:PITTSBURGH ALLEGHENY CO AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SPACE2-1:PITTSBURGH ALLEGHENY CO AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SPACE2-1:PITTSBURGH ALLEGHENY CO AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SPACE2-1:PITTSBURGH ALLEGHENY CO AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SPACE3-1:PITTSBURGH ALLEGHENY CO AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SPACE3-1:PITTSBURGH ALLEGHENY CO AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SPACE3-1:PITTSBURGH ALLEGHENY CO AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SPACE3-1:PITTSBURGH ALLEGHENY CO AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SPACE4-1:PITTSBURGH ALLEGHENY CO AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SPACE4-1:PITTSBURGH ALLEGHENY CO AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SPACE4-1:PITTSBURGH ALLEGHENY CO AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SPACE4-1:PITTSBURGH ALLEGHENY CO AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SPACE5-1:PITTSBURGH ALLEGHENY CO AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SPACE5-1:PITTSBURGH ALLEGHENY CO AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SPACE5-1:PITTSBURGH ALLEGHENY CO AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SPACE5-1:PITTSBURGH ALLEGHENY CO AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,3.031968E+03,0.000000E+00,2.154781E-01,0.000000E+00,1.268319E+03,0.000000E+00,9.013791E-02,0.000000E+00,2.938557E+03,0.000000E+00,2.088395E-01,0.000000E+00,1.268319E+03,2.711347E-01,9.013791E-02,3.359616E-05,2.272899E+03,0.000000E+00,1.615325E-01,0.000000E+00
00:30:00,3.034384E+03,0.000000E+00,2.156498E-01,0.000000E+00,1.269404E+03,0.000000E+00,9.021501E-02,0.000000E+00,2.940927E+03,0.000000E+00,2.090079E-01,0.000000E+00,1.269404E+03,0.000000E+00,9.021501E-02,0.000000E+00,2.277026E+03,0.000000E+00,1.618256E-01,0.000000E+00
00:45:00,3.036654E+03,0.000000E+00,2.158111E-01,0.000000E+00,1.270423E+03,0.000000E+00,9.028742E-02,0.000000E+00,2.943153E+03,0.000000E+00,2.091661E-01,0.000000E+00,1.270423E+03,0.000000E+00,9.028742E-02,0.000000E+00,2.280898E+03,0.000000E+00,1.621006E-01,0.000000E+00
01:00:00,3.038703E+03,0.000000E+00,2.159567E-01,0.000000E+00,1.271342E+03,0.000000E+00,9.035275E-02,0.000000E+00,2.945162E+03,0.000000E+00,2.093089E-01,0.000000E+00,1.271342E+03,0.000000E+00,9.035275E-02,0.000000E+00,2.284379E+03,0.000000E+00,1.623478E-01,0.000000E+00
01:15:00,3.040584E+03,0.000000E+00,2.160904E-01,0.000000E+00,1.272184E+03,0.000000E+00,9.041261E-02,0.000000E+00,2.947005E+03,0.000000E+00,2.094398E-01,0.000000E+00,1.272184E+03,0.000000E+00,9.041261E-02,0.000000E+00,2.287571E+03,0.000000E+00,1.625746E-01,0.000000E+00
01:30:00,3.042313E+03,0.000000E+00,2.162133E-01,0.000000E+00,1.272957E+03,0.000000E+00,9.046756E-02,0.000000E+00,2.948700E+03,0.000000E+00,2.095603E-01,0.000000E+00,1.272957E+03,0.000000E+00,9.046756E-02,0.000000E+00,2.290509E+03,0.000000E+00,1.627833E-01,0.000000E+00
01:45:00,3.043908E+03,0.000000E+00,2.163266E-01,0.000000E+00,1.273669E+03,0.000000E+00,9.051812E-02,0.000000E+00,2.950261E+03,0.000000E+00,2.096713E-01,0.000000E+00,1.273669E+03,0.000000E+00,9.051812E-02,0.000000E+00,2.293217E+03,0.000000E+00,1.629758E-01,0.000000E+00
02:00:00,3.045465E+03,0.000000E+00,2.164373E-01,0.000000E+00,1.274362E+03,0.000000E+00,9.056741E-02,0.000000E+00,2.951785E+03,0.000000E+00,2.097796E-01,0.000000E+00,1.274362E+03,0.000000E+00,9.056741E-02,0.000000E+00,2.295876E+03,0.000000E+00,1.631647E-01,0.000000E+00
02:15:00,3.046954E+03,0.000000E+00,2.165431E-01,0.000000E+00,1.275025E+03,0.000000E+00,9.061454E-02,0.000000E+00,2.953243E+03,0.000000E+00,2.098832E-01,0.000000E+00,1.275025E+03,0.000000E+00,9.061454E-02,0.000000E+00,2.298419E+03,0.000000E+00,1.633453E-01,0.000000E+00
02:30:00,3.048376E+03,0.000000E+00,2.166442E-01,0.000000E+00,1.275659E+03,0.000000E+00,9.065956E-02,0.000000E+00,2.954635E+03,0.000000E+00,2.099821E-01,0.000000E+00,1.275659E+03,0.000000E+00,9.065956E-02,0.000000E+00,2.300845E+03,0.000000E+00,1.635178E-01,0.000000E+00
